entry_id,platform,source_type,current_value,normalized_hex,role_guess,target_token,status,priority,files,notes,design_system_reference,count_estimate,component_zone,replace_strategy
WEB-019,shared,theme_token,FINANCE_THEME.lightGreen,#81C784,finance_income_expected,color.finance.income.expected,domain_exception,P1,frontend/src/constants/financeTheme.js; mobile/src/theme/financeTheme.ts,Not listed on public DS page — document as finance-specific expected income.,not on DS page,2,finance,leave_as_exception
WEB-020,shared,theme_token,FINANCE_THEME.expenseRed / lossRed,#F44336; #C62828,finance_expense; finance_loss_emphasis,color.finance.expense; color.finance.profit.negative,domain_exception,P1,frontend/src/constants/financeTheme.js; mobile/src/theme/financeTheme.ts,Two reds for chart vs emphasis; keep distinct roles vs generic color.status.error.,DS error #EF4444 — related but not identical,2,finance,leave_as_exception
WEB-021,web,chart_color,Recharts stroke/fill literals,,chart_series,color.chart.series.*,drift,P1,frontend/src/components/MasterDashboardStats.jsx; MasterStats.jsx,Centralize series colors; pair with mobile BarLineChart.,DS chart palette TBD,30,stats,manual_refactor
MOB-001,mobile,stylesheet,#333 / #333333,#333333,text_primary,color.text.primary,mismatch,P0,mobile/app/**/*.tsx; mobile/src/components/**/*.tsx,Near but not DS Charcoal #2D2D2D; unify.,Charcoal Text #2D2D2D,242,global,token_update
MOB-002,mobile,stylesheet,#666 / #666666,#666666,text_secondary_muted,color.text.muted,mismatch,P0,mobile/app/(master)/master/finance.tsx; clients.tsx; loyalty.tsx; login.tsx; ...,Very high usage; map to DS Warm Grey or neutral token.,Warm Grey #909090 (close family),267,global,token_update
MOB-003,mobile,stylesheet,#999 / #999999,#999999,text_disabled_hint,color.text.muted,drift,P1,mobile/**/*.tsx,Consolidate muted hierarchy with web neutral scale.,Muted,74,global,token_update
MOB-004,mobile,stylesheet,#E0E0E0 / #DDDDDD / #EEEEEE,#E0E0E0,border_default,color.border.default,duplicate,P1,mobile/**/*.tsx,Multiple grays for borders — single semantic token + variants.,Mild Taupe family,165,global,token_update
MOB-005,mobile,stylesheet,#F5F5F5 / #F0F0F0,#F5F5F5,surface_subtle,color.surface.page,drift,P1,mobile/**/*.tsx,Align with Pastel Base #F9F7F6 where intended as page bg.,Pastel Base,74,global,token_update
MOB-006,mobile,hex,#4CAF50,#4CAF50,primary_cta,color.action.primary,duplicate,P1,mobile/src/components/PrimaryButton.tsx; many screens,Replace literals with imported semantic colors object.,Vibrant Green,251,global,token_update
MOB-007,mobile,hex,#4CAF50 as success/metric,#4CAF50,status_success_positive_metric,color.status.success,duplicate,P2,mobile/app/(master)/master/stats.tsx; BarLineChart.tsx,"Same hex, different semantic role from CTA — split in token layer.",Success,80,stats,token_update
MOB-008,mobile,hex,#F44336,#F44336,danger_error_negative,color.status.error,mismatch,P1,mobile/**/*.tsx,Material red vs DS #EF4444; pick one semantic error core.,Error #EF4444,56,global,token_update
MOB-009,mobile,hex,#16A34A,#16A34A,success_accent,color.status.success,mismatch,P1,mobile (grep cluster),Tailwind green-600 family leaking into RN — remove in favor of brand success.,Success should be #4CAF50 per DS,25,global,token_update
MOB-010,mobile,chart_color,BarLineChart / stats palette,,chart_series,color.chart.series.positive; color.chart.series.negative,drift,P1,mobile/src/components/stats/BarLineChart.tsx; mobile/app/(master)/master/stats.tsx,Define shared chart token set with web Recharts.,DS chart TBD,20,stats,manual_refactor
MOB-011,mobile,hex,BRAND_GREEN constant,#4CAF50,brand_highlight,color.core.green.500,ok,P2,mobile/src/components/bookings/BookingCardCompact.tsx,Consolidate with global mobile theme export.,Vibrant Green,3,booking,token_update
LEG-001,web,tailwind_utility,gray/blue utilities in pages/test/*,,various,same as WEB-006–011,legacy_exception,P3,frontend/src/pages/test/**,Migrate last; or exclude from prod bundle audits.,n/a,200,test,manual_refactor
LEG-002,web,tailwind_utility,Admin*/Blog* heavy gray-blue usage,,admin_ui,color.text.*; color.surface.*; color.link.*,legacy_exception,P2,frontend/src/pages/Admin*.jsx; Blog*.jsx,Large surface area; batch after P0 global aliases exist.,partial,800,admin,tailwind_alias
SHA-001,shared,theme_token,alert.info uses primary mint family,#DFF5EC,info_alert,color.status.info,ok,P2,frontend/src/utils/designTokens.js (commonStyles.alert.info),DS page shows info message component but not separate info color — using primary family is acceptable; name semantically.,Info message (demo),1,shared_tokens,token_update
DOC-001,shared,hex,stroke:#2e7d32 in mermaid,#2E7D32,diagram_stroke,n/a,legacy_exception,P3,docs/c4/*.md; docs/architecture/*.md,Documentation only; do not mix with runtime registry batches.,not applicable,5,documentation,leave_as_exception
